language,iso2,iso3,flores200,bcp47,microsoft_translator,google_translator,nllb,seamless_m4t,madlad_400,translategemma,gpt,deepseek
Latgalian,,ltg,ltg_Latn,ltg,0,0,1,0,1,0,1,1
Goan Konkani,gom,gom,,gom,1,1,0,0,1,0,1,1
Lezghian,,lez,,lez,0,0,0,0,0,0,1,1
Sango,sg,sag,sag_Latn,sg,0,0,1,0,1,0,1,1
Congo Swahili,,swc,,swc,0,0,0,0,0,0,1,1
Võro,,vro,,vro,0,0,0,0,0,0,1,1
Avaric,,ava,,ava,0,0,0,0,0,0,1,1
Erzya,,myv,,myv,0,0,0,0,0,0,1,1
Manipuri,mni,mni,mni_Beng,mni,1,0,1,1,1,0,1,1
Kabardian,,kbd,,kbd,0,0,0,0,0,0,1,1
Gagauz,,gag,,gag,0,0,0,0,0,0,1,1
Central Bikol,,bcl,,bcl,0,0,0,0,1,0,1,1
Ingush,,inh,,inh,0,0,0,0,0,0,1,1
Ndonga,,ndo,,ndo,0,0,0,0,0,0,1,1
Southern Uzbek,,uzs,,uzs,0,0,0,0,0,0,1,1
Shan,,shn,shn_Mymr,shn,0,0,1,0,1,0,1,1
Sranan Tongo,,srn,,srn,0,0,0,0,0,0,1,1
Thado Chin,,tcz,,tcz,0,0,0,0,0,0,1,1
Emilian-Romagnol,,eml,,eml,0,0,0,0,0,0,1,1
Wolof,wo,wol,wol_Latn,wo,0,0,1,0,1,0,1,1
Ga,,gaa,,gaa,0,0,0,0,0,0,1,1
Gronings,,gos,,gos,0,0,0,0,0,0,1,1
Pfaelzisch,,pfl,,pfl,0,0,0,0,0,0,1,1
Silesian,,szl,szl_Latn,szl,0,0,1,0,0,0,1,1
Dimli (individual language),,diq,,diq,0,0,0,0,1,0,1,1
Kashubian,,csb,,csb,0,0,0,0,0,0,1,1
Brahui,,brh,,brh,0,0,0,0,0,0,1,1
Efik,,efi,,efi,0,0,0,0,0,0,1,1
Wu Chinese,,wuu,,wuu,0,0,0,0,0,0,1,1
