language,lang_code,country,number_of_speakers,corpus_size,corpus_metric_used,cluster_class,cluster_name,category,family,script_type
Poqomchi',poh,Unknown,177000,1578072,words,0,Cluster 0,Indigenous,Mayan,Latin
Extremaduran,ext,Unknown,501500,1570131,words,0,Cluster 0,Indigenous,Indo-European,Latin
Eastern Bru,bru,Unknown,132000,1550702,words,0,Cluster 0,Indigenous,Austro-Asiatic,Latin
Northern Frisian,frr,Unknown,8000,1541305,words,0,Cluster 0,Indigenous,Indo-European,Latin
Hiri Motu,hmo,Unknown,95000,1535289,words,0,Cluster 0,Indigenous,Pidgin,Latin
Baatonum,bba,Unknown,1260000,1531850,words,0,Cluster 0,Regional,Niger-Congo,Latin
Umbu-Ungu,ubu,Unknown,32000,1521891,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Bemba (Zambia),bem,Unknown,4266000,1495876,words,0,Cluster 0,Regional,Niger-Congo,Latin
Dadibi,mps,Unknown,12600,1491100,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Swati,ssw,Unknown,4714500,1473622,words,0,Cluster 0,Regional,Niger-Congo,Latin
Dakota,dak,Unknown,1630,1470106,words,0,Cluster 0,Indigenous,Siouan-Catawban,Latin
Inari Sami,smn,Unknown,400,1450283,words,0,Cluster 0,Indigenous,Uralic,Latin
Fon,fon,Unknown,2520400,1445127,words,0,Cluster 0,Regional,Niger-Congo,Latin
Acoli,ach,Unknown,2059080,1432831,words,0,Cluster 0,Regional,Nilo-Saharan,Latin
Manx,glv,Unknown,1660,1412371,words,0,Cluster 0,Indigenous,Indo-European,Latin
Musi,mui,Unknown,2191000,1387230,words,0,Cluster 0,Regional,Austronesian,Latin
Dyula,dyu,Unknown,12841000,1376770,words,0,Cluster 0,Major Regional,Niger-Congo,Latin
Eastern Huasteca Nahuatl,nhe,Unknown,493000,1376530,words,0,Cluster 0,Indigenous,Uto-Aztecan,Latin
Adangme,ada,Unknown,1020000,1358514,words,0,Cluster 0,Regional,Niger-Congo,Latin
Guadeloupean Creole French,gcf,Unknown,578500,1355204,words,0,Cluster 0,Indigenous,Creole,Latin
Sakizaya,szy,Unknown,590,1334263,words,0,Cluster 0,Indigenous,Austronesian,Latin
Pampanga,pam,Unknown,2056220,1334116,words,0,Cluster 0,Regional,Austronesian,Latin
Mapudungun,arn,Unknown,258410,1333244,words,0,Cluster 0,Indigenous,Mapudungu,Latin
Moksha,mdf,Unknown,93300,1330685,words,0,Cluster 0,Indigenous,Uralic,Non-Latin
Chuj,cac,Unknown,62120,1330076,words,0,Cluster 0,Indigenous,Mayan,Latin
Saramaccan,srm,Unknown,34600,1328320,words,0,Cluster 0,Indigenous,Creole,Latin
Achang,acn,Unknown,62700,1303443,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Hakka Chinese,hak,Unknown,40724430,1294808,words,0,Cluster 0,Major Regional,Sino-Tibetan,Non-Latin
Ayacucho Quechua,quy,Unknown,1270000,1285642,words,0,Cluster 0,Regional,Quechuan,Latin
Motu,meu,Unknown,39000,1278178,words,0,Cluster 0,Indigenous,Austronesian,Latin
Mon,mnw,Unknown,1108000,1262876,words,0,Cluster 0,Regional,Austro-Asiatic,Non-Latin
Kosraean,kos,Unknown,7890,1252883,words,0,Cluster 0,Indigenous,Austronesian,Latin
Kimbundu,kmb,Unknown,1700160,1243068,words,0,Cluster 0,Regional,Niger-Congo,Latin
Ngäbere,gym,Unknown,171840,1240075,words,0,Cluster 0,Indigenous,Chibchan,Latin
Mingrelian,xmf,Unknown,290580,1237348,words,0,Cluster 0,Indigenous,Kartvelian,Non-Latin
Isthmus Zapotec,zai,Unknown,491000,1225032,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Ambulas,abt,Unknown,33000,1221988,words,0,Cluster 0,Indigenous,Sepik,Latin
Keley-I Kallahan,ify,Unknown,8000,1198470,words,0,Cluster 0,Indigenous,Austronesian,Latin
Swabian,swg,Unknown,820000,1192282,words,0,Cluster 0,Indigenous,Indo-European,Latin
Southern Sami,sma,Unknown,600,1172733,words,0,Cluster 0,Indigenous,Uralic,Latin
Iu Mien,ium,Unknown,826400,1159077,words,0,Cluster 0,Indigenous,Hmong-Mien,Latin
Tonga (Zambia),toi,Unknown,1484000,1139090,words,0,Cluster 0,Regional,Niger-Congo,Latin
Kriol,rop,Unknown,17490,1124780,words,0,Cluster 0,Indigenous,Creole,Latin
Gun,guw,Unknown,1698000,1106992,words,0,Cluster 0,Regional,Niger-Congo,Latin
Umbundu,umb,Unknown,7810000,1100106,words,0,Cluster 0,Regional,Niger-Congo,Latin
Kinaray-A,krj,Unknown,601000,1088277,words,0,Cluster 0,Indigenous,Austronesian,Latin
Kekchí,kek,Unknown,1149200,1083083,words,0,Cluster 0,Regional,Mayan,Latin
Carpathian Romani,rmc,Unknown,178700,1078305,words,0,Cluster 0,Indigenous,Indo-European,Latin
Yapese,yap,Unknown,5130,1073904,words,0,Cluster 0,Indigenous,Austronesian,Latin
Zou,zom,Unknown,87500,1064042,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Marshallese,mah,Unknown,67800,1063640,words,0,Cluster 0,Indigenous,Austronesian,Latin
Awadhi,awa,Unknown,4789700,1061852,words,0,Cluster 0,Regional,Indo-European,Non-Latin
Kuanua,ksd,Unknown,148000,1050709,words,0,Cluster 0,Indigenous,Austronesian,Latin
Popti',jac,Unknown,33080,1041592,words,0,Cluster 0,Indigenous,Mayan,Latin
Talysh,tly,Unknown,204190,1039081,words,0,Cluster 0,Indigenous,Indo-European,Latin
Mutu,tuc,Unknown,4000,1037809,words,0,Cluster 0,Indigenous,Austronesian,Latin
Kapingamarangi,kpg,Unknown,3000,1029587,words,0,Cluster 0,Indigenous,Austronesian,Latin
Plautdietsch,pdt,Unknown,362560,1017372,words,0,Cluster 0,Indigenous,Indo-European,Latin
Dehu,dhv,Unknown,15586,1015390,words,0,Cluster 0,Indigenous,Austronesian,Latin
Pular,fuf,Unknown,4866080,1004020,words,0,Cluster 0,Regional,Niger-Congo,Latin
El Nayar Cora,crn,Unknown,33200,991165,words,0,Cluster 0,Indigenous,Uto-Aztecan,Latin
Central Atlas Tamazight,tzm,Unknown,3074740,976602,words,0,Cluster 0,Regional,Afro-Asiatic,Non-Latin
Santali,sat,Unknown,7902700,972352,words,0,Cluster 0,Regional,Austro-Asiatic,Non-Latin
Susu,sus,Unknown,2453080,968562,words,0,Cluster 0,Regional,Niger-Congo,Non-Latin
Chavacano,cbk,Unknown,431000,962009,words,0,Cluster 0,Indigenous,Creole,Latin
Samogitian,sgs,Unknown,500000,955209,words,0,Cluster 0,Indigenous,Indo-European,Latin
Central Mnong,cmo,Unknown,69100,952379,words,0,Cluster 0,Indigenous,Austro-Asiatic,Latin
Garifuna,cab,Unknown,119400,951739,words,0,Cluster 0,Indigenous,Maipurean,Latin
Cusco Quechua,quz,Unknown,1500000,940907,words,0,Cluster 0,Regional,Quechuan,Latin
Achi,acr,Unknown,161000,936941,words,0,Cluster 0,Indigenous,Mayan,Latin
Chamorro,cha,Unknown,61900,927873,words,0,Cluster 0,Indigenous,Austronesian,Latin
Palauan,pau,Unknown,11700,927467,words,0,Cluster 0,Indigenous,Austronesian,Latin
Rade,rad,Unknown,399000,920519,words,0,Cluster 0,Indigenous,Austronesian,Latin
Bambara,bam,Unknown,14354650,906546,words,0,Cluster 0,Major Regional,Niger-Congo,Latin
Mufian,aoj,Unknown,11000,905415,words,0,Cluster 0,Indigenous,Torricelli,Latin
San Blas Kuna,cuk,Unknown,57100,902981,words,0,Cluster 0,Indigenous,Chibchan,Latin
Jarai,jra,Unknown,540900,900405,words,0,Cluster 0,Indigenous,Austronesian,Latin
Ditammari,tbz,Unknown,293300,893194,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Bukiyip,ape,Unknown,16200,884397,words,0,Cluster 0,Indigenous,Torricelli,Latin
Hmong Njua,hnj,Unknown,519520,870431,words,0,Cluster 0,Indigenous,Hmong-Mien,Latin
Ankave,aak,Unknown,1500,864660,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Nyungwe,nyu,Unknown,490000,863415,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Huli,hui,Unknown,200000,857709,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Rawang,raw,Unknown,63000,854820,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Tinputz,tpz,Unknown,10000,853694,words,0,Cluster 0,Indigenous,Austronesian,Latin
Saterfriesisch,stq,Unknown,2000,843058,words,0,Cluster 0,Indigenous,Indo-European,Latin
Central Huasteca Nahuatl,nch,Unknown,1650000,837205,words,0,Cluster 0,Regional,Uto-Aztecan,Latin
Kalmyk,xal,Unknown,495300,836522,words,0,Cluster 0,Indigenous,Mongolic,Non-Latin
Belize Kriol English,bzj,Unknown,170000,834725,words,0,Cluster 0,Indigenous,Creole,Latin
Niuean,niu,Unknown,29100,829619,words,0,Cluster 0,Indigenous,Austronesian,Latin
Skolt Sami,sms,Unknown,320,827911,words,0,Cluster 0,Indigenous,Uralic,Latin
Bodo (India),brx,Unknown,1474275,814265,words,0,Cluster 0,Regional,Sino-Tibetan,Non-Latin
Kadazan Dusun,dtp,Unknown,283700,812770,words,0,Cluster 0,Indigenous,Austronesian,Latin
San Salvador Kongo,kwy,Unknown,2780000,810554,words,0,Cluster 0,Regional,Niger-Congo,Latin
Macedo-Romanian,rup,Unknown,198700,795617,words,0,Cluster 0,Indigenous,Indo-European,Latin
Roviana,rug,Unknown,20000,794073,words,0,Cluster 0,Indigenous,Austronesian,Latin
Guerrero Amuzgo,amu,Unknown,45900,789498,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Kasem,xsm,Unknown,340000,782525,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Kwangali,kwn,Unknown,192000,781363,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
S'gaw Karen,ksw,Unknown,2336730,777650,words,0,Cluster 0,Regional,Sino-Tibetan,Non-Latin
Herero,her,Unknown,248700,777046,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Tz'utujil,tzj,Unknown,111000,775365,words,0,Cluster 0,Indigenous,Mayan,Latin
Papantla Totonac,top,Unknown,256000,771439,words,0,Cluster 0,Indigenous,Totonacan,Latin
Farefare,gur,Unknown,969000,767388,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Telefol,tlf,Unknown,15000,762787,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Melpa,med,Unknown,144000,761200,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Waray (Philippines),war,Unknown,2614520,761198,words,0,Cluster 0,Regional,Austronesian,Latin
Boko (Benin),bqc,Unknown,156000,760235,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Sena,seh,Unknown,2030000,760136,words,0,Cluster 0,Regional,Niger-Congo,Latin
Matigsalug Manobo,mbt,Unknown,63000,758398,words,0,Cluster 0,Indigenous,Austronesian,Latin
Nogai,nog,Unknown,85600,753855,words,0,Cluster 0,Indigenous,Turkic,Non-Latin
Bulu (Cameroon),bum,Unknown,1658000,752867,words,0,Cluster 0,Regional,Niger-Congo,Latin
Patpatar,gfk,Unknown,17000,751601,words,0,Cluster 0,Indigenous,Austronesian,Latin
Abau,aau,Unknown,12000,740744,words,0,Cluster 0,Indigenous,Sepik,Latin
Mambwe-Lungu,mgr,Unknown,213680,740707,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
North Tairora,tbg,Unknown,5000,737635,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Yessan-Mayo,yss,Unknown,4100,734693,words,0,Cluster 0,Indigenous,Sepik,Latin
Huastec,hus,Unknown,160500,730667,words,0,Cluster 0,Indigenous,Mayan,Latin
Kikuyu,kik,Unknown,8298950,729931,words,0,Cluster 0,Regional,Niger-Congo,Latin
Tabo,knv,Unknown,3500,727990,words,0,Cluster 0,Indigenous,South-Central Papuan,Latin
Bola,bnp,Unknown,27800,724566,words,0,Cluster 0,Indigenous,Austronesian,Latin
Bini,bin,Unknown,2340000,722664,words,0,Cluster 0,Regional,Niger-Congo,Latin
Bimin,bhl,Unknown,4300,721015,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Rawa,rwo,Unknown,11500,719121,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Western Huasteca Nahuatl,nhw,Unknown,1650000,717378,words,0,Cluster 0,Regional,Uto-Aztecan,Latin
Jamaican Creole English,jam,Unknown,3279400,715459,words,0,Cluster 0,Regional,Creole,Latin
Dagbani,dag,Unknown,1170000,714088,words,0,Cluster 0,Regional,Niger-Congo,Latin
Aruamu,msy,Unknown,12000,713993,words,0,Cluster 0,Indigenous,Ramu-Lower Sepik,Latin
Songe,sop,Unknown,1470000,707633,words,0,Cluster 0,Regional,Niger-Congo,Latin
Kamba (Kenya),kam,Unknown,5260000,703267,words,0,Cluster 0,Regional,Niger-Congo,Latin
Eastern Maroon Creole,djk,Unknown,73800,696174,words,0,Cluster 0,Indigenous,Creole,Latin
Kamula,xla,Unknown,1100,689454,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Alamblak,amp,Unknown,3100,685969,words,0,Cluster 0,Indigenous,Sepik,Latin
Urhobo,urh,Unknown,1273000,685340,words,0,Cluster 0,Regional,Niger-Congo,Latin
Hawai'i Creole English,hwc,Unknown,644000,683355,words,0,Cluster 0,Indigenous,Creole,Latin
Kalam,kmh,Unknown,41000,681700,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Baruya,byr,Unknown,10000,678483,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Aguacateco,agu,Unknown,13000,677386,words,0,Cluster 0,Indigenous,Mayan,Latin
Misima-Panaeati,mpx,Unknown,35000,674754,words,0,Cluster 0,Indigenous,Austronesian,Latin
Ladin,lld,Unknown,38000,669076,words,0,Cluster 0,Indigenous,Indo-European,Latin
Gikyode,acd,Unknown,18000,669063,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Ixil,ixl,Unknown,138000,665016,words,0,Cluster 0,Indigenous,Mayan,Latin
Pennsylvania German,pdc,Unknown,283000,663964,words,0,Cluster 0,Indigenous,Indo-European,Latin
Avokaya,avu,Unknown,99000,660984,words,0,Cluster 0,Indigenous,Nilo-Saharan,Latin
Caribbean Javanese,jvn,Unknown,94500,659261,words,0,Cluster 0,Indigenous,Austronesian,Latin
Nyankole,nyn,Unknown,4436800,656166,words,0,Cluster 0,Regional,Niger-Congo,Latin
Amarasi,aaz,Unknown,83000,653628,words,0,Cluster 0,Indigenous,Austronesian,Latin
Dobu,dob,Unknown,22000,653299,words,0,Cluster 0,Indigenous,Austronesian,Latin
Pele-Ata,ata,Unknown,4200,651923,words,0,Cluster 0,Indigenous,Yele-West New Britain,Latin
Mezquital Otomi,ote,Unknown,119000,651035,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Konzo,koo,Unknown,1140000,648292,words,0,Cluster 0,Regional,Niger-Congo,Latin
Lule Sami,smj,Unknown,2000,646871,words,0,Cluster 0,Indigenous,Uralic,Latin
Tamasheq,taq,Unknown,980000,644467,words,0,Cluster 0,Indigenous,Afro-Asiatic,Non-Latin
Moba,mfq,Unknown,541600,642862,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Nakanai,nak,Unknown,45000,640987,words,0,Cluster 0,Indigenous,Austronesian,Latin
Makhuwa,vmw,Unknown,5233000,637804,words,0,Cluster 0,Regional,Niger-Congo,Latin
Tabassaran,tab,Unknown,87500,637627,words,0,Cluster 0,Indigenous,Nakh-Daghestanian,Non-Latin
Nigerian Pidgin,pcm,Unknown,2125000,631289,words,0,Cluster 0,Regional,Creole,Latin
Akeu,aeu,Unknown,19100,626564,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Central Puebla Nahuatl,ncx,Unknown,1650000,625537,words,0,Cluster 0,Regional,Uto-Aztecan,Latin
Tulu,tcy,Unknown,2627000,625406,words,0,Cluster 0,Regional,Dravidian,Non-Latin
Dedua,ded,Unknown,10000,625043,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Amis,ami,Unknown,209000,623553,words,0,Cluster 0,Indigenous,Austronesian,Latin
Bauzi,bvz,Unknown,2300,619711,words,0,Cluster 0,Indigenous,East Geelvink Bay,Latin
Dogri (macrolanguage),doi,Unknown,3720000,619197,words,0,Cluster 0,Regional,Indo-European,Non-Latin
Ndau,ndc,Unknown,2170000,615714,words,0,Cluster 0,Regional,Niger-Congo,Latin
Sediq,trv,Unknown,39200,613872,words,0,Cluster 0,Indigenous,Austronesian,Latin
San Jerónimo Tecóatl Mazatec,maa,Unknown,237000,613396,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Assyrian Neo-Aramaic,aii,Unknown,745300,611400,words,0,Cluster 0,Indigenous,Afro-Asiatic,Non-Latin
Mazanderani,mzn,Unknown,1350000,607436,words,0,Cluster 0,Regional,Indo-European,Non-Latin
Lukpa,dop,Unknown,196000,602390,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Maasina Fulfulde,ffm,Unknown,2041000,596449,words,0,Cluster 0,Regional,Niger-Congo,Latin
Yaweyuha,yby,Unknown,5500,596102,words,0,Cluster 0,Indigenous,Trans-New Guinea,Latin
Texmelucan Zapotec,zpz,Unknown,6200,594661,words,0,Cluster 0,Indigenous,Otomanguean,Latin
Sidamo,sid,Unknown,5060000,593716,words,0,Cluster 0,Regional,Afro-Asiatic,Latin
Yongbei Zhuang,zyb,Unknown,19600000,590991,words,0,Cluster 0,Major Regional,Kra-Dai,Latin
Nias,nia,Unknown,867000,582875,words,0,Cluster 0,Indigenous,Austronesian,Latin
Urak Lawoi',urk,Unknown,5000,582772,words,0,Cluster 0,Indigenous,Austronesian,Non-Latin
Halia,hla,Unknown,49000,582739,words,0,Cluster 0,Indigenous,Austronesian,Latin
Bambam,ptu,Unknown,37000,581084,words,0,Cluster 0,Indigenous,Austronesian,Latin
Karbi,mjw,Unknown,674600,580377,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Western Bukidnon Manobo,mbb,Unknown,17800,579913,words,0,Cluster 0,Indigenous,Austronesian,Latin
Guambiano,gum,Unknown,42000,577090,words,0,Cluster 0,Indigenous,Paezan,Latin
Naasioi,nas,Unknown,28000,573920,words,0,Cluster 0,Indigenous,South Bougainville,Latin
Abaza,abq,Unknown,57000,573336,words,0,Cluster 0,Indigenous,Abkhaz-Adyghe,Non-Latin
Tojolabal,toj,Unknown,46000,568005,words,0,Cluster 0,Indigenous,Mayan,Latin
